,date,open,close,high,low,volume,code
1456,2007-12-17,-3.016,-6.097,4.422,-9.102,17451.32,sh600519
1457,2007-12-18,-9.027,-13.617,-9.019,-15.856,18507.65,sh600519
1458,2007-12-19,-11.506,-12.145,-9.928,-16.623,13933.65,sh600519
1459,2007-12-20,-10.003,-11.521,-9.673,-14.323,6903.41,sh600519
1460,2007-12-21,-11.356,-6.074,-5.045,-11.356,9515.87,sh600519
1461,2007-12-24,-2.43,-7.314,-2.378,-7.614,21203.79,sh600519
1462,2007-12-25,-7.314,-1.964,-0.552,-7.314,17156.78,sh600519
1463,2007-12-26,-2.355,2.175,3.295,-3.054,14593.84,sh600519
1464,2007-12-27,2.168,4.309,4.647,-1.438,21906.98,sh600519
1465,2007-12-28,1.867,8.178,8.254,-1.01,26627.99,sh600519
1466,2008-01-02,5.925,2.183,7.382,1.417,19085.75,sh600519
1467,2008-01-03,2.393,-3.73,5.925,-5.511,29799.46,sh600519
1468,2008-01-04,-5.345,-2.911,-2.28,-8.351,33303.68,sh600519
1469,2008-01-07,-2.723,-5.097,-0.086,-6.878,30409.17,sh600519
1470,2008-01-08,-6.097,-3.069,-1.145,-7.9,32218.28,sh600519
1471,2008-01-09,-5.435,-3.061,-1.619,-5.435,12009.6,sh600519
1472,2008-01-10,-2.34,-1.529,0.335,-4.293,20826.64,sh600519
1473,2008-01-11,-0.837,-2.325,0.553,-5.345,19811.08,sh600519
1474,2008-01-14,4.422,3.761,7.127,-0.462,42925.07,sh600519
1475,2008-01-15,3.971,6.946,8.592,3.971,21303.22,sh600519
1476,2008-01-16,5.774,2.799,5.925,2.168,22419.08,sh600519
1477,2008-01-17,3.287,-0.837,3.295,-2.34,31613.52,sh600519
1478,2008-01-18,-0.792,-3.114,0.29,-4.594,20416.94,sh600519
1479,2008-01-21,-2.753,-6.089,-1.378,-9.102,24986.81,sh600519
1480,2008-01-22,-9.117,-6.45,0.628,-13.61,44908.66,sh600519
1481,2008-01-23,-3.768,0.756,0.891,-4.864,23146.33,sh600519
1482,2008-01-24,2.168,2.168,3.896,-1.589,18485.56,sh600519
1483,2008-01-25,2.093,-0.169,4.798,-2.34,17993.11,sh600519
1484,2008-01-28,-2.716,-3.249,0.665,-7.674,14170.41,sh600519
1485,2008-01-29,-3.204,-2.746,-0.837,-4.594,10107.03,sh600519
1486,2008-01-30,-1.589,-3.272,-1.589,-9.703,29331.97,sh600519
1487,2008-01-31,-6.104,-9.831,-4.594,-9.853,13904.99,sh600519
1488,2008-02-01,-10.612,-12.475,-10.612,-15.187,21466.95,sh600519
1489,2008-02-04,-10.897,-5.36,-3.354,-11.356,29546.33,sh600519
1490,2008-02-05,-5.345,-7.314,-5.345,-8.351,8478.3,sh600519
1491,2008-02-13,-8.351,-12.107,-8.351,-12.858,4971.72,sh600519
1492,2008-02-14,-10.604,-12.024,-9.928,-12.783,7556.16,sh600519
1493,2008-02-15,-12.13,-13.55,-12.107,-15.864,12811.1,sh600519
1494,2008-02-18,-13.009,-9.132,-9.027,-13.009,12576.82,sh600519
1495,2008-02-19,-9.139,-9.109,-8.351,-12.107,7287.33,sh600519
1496,2008-02-20,-9.102,-9.778,-6.923,-10.492,9701.39,sh600519
1497,2008-02-21,-7.975,-10.274,-7.682,-10.755,12204.08,sh600519
1498,2008-02-22,-10.597,-13.91,-9.5,-16.615,19421.93,sh600519
1499,2008-02-25,-14.436,-16.72,-14.361,-17.366,11217.79,sh600519
1500,2008-02-26,-15.864,-23.527,-14.098,-24.955,35143.23,sh600519
1501,2008-02-27,-24.128,-20.236,-18.118,-26.983,12116.16,sh600519
1502,2008-02-28,-20.229,-21.874,-18.869,-23.362,7226.37,sh600519
1503,2008-02-29,-21.499,-18.118,-17.381,-23.302,7114.4,sh600519
1504,2008-03-03,-11.281,-3.467,-3.467,-11.281,17783.17,sh600519
1505,2008-03-04,5.038,1.364,7.352,-1.551,37898.26,sh600519
1506,2008-03-05,1.349,1.169,5.248,-1.213,14038.69,sh600519
1507,2008-03-06,1.176,-1.574,3.671,-1.739,8197.36,sh600519
1508,2008-03-07,-2.152,-4.466,-1.957,-7.524,14896.27,sh600519
1509,2008-03-10,-6.848,-7.156,-3.076,-8.952,10672.85,sh600519
1510,2008-03-11,-8.726,-3.257,-1.964,-9.816,11377.28,sh600519
1511,2008-03-12,-0.845,-5.157,-0.251,-8.08,6119.6,sh600519
1512,2008-03-13,-15.781,-4.819,-3.091,-21.093,16690.09,sh600519
1513,2008-03-14,-6.998,-10.574,-6.998,-11.363,11858.08,sh600519
1514,2008-03-17,-14.339,-13.828,-11.371,-15.488,17189.18,sh600519
1515,2008-03-18,-16.735,-22.22,-14.361,-24.879,30224.86,sh600519
1516,2008-03-19,-22.618,-21.063,-18.118,-23.294,18579.29,sh600519
1517,2008-03-20,-21.949,-19.665,-17.366,-29.763,14755.99,sh600519
1518,2008-03-21,-18.644,-19.109,-16.615,-20.973,3999.04,sh600519
1519,2008-03-24,-18.869,-20.139,-17.096,-22.175,9356.77,sh600519
1520,2008-03-25,-23.377,-24.158,-20.387,-24.879,11287.82,sh600519
1521,2008-03-26,-23.752,-25.263,-21.874,-27.133,4475.11,sh600519
1522,2008-03-27,-28.636,-28.591,-23.392,-28.711,18924.65,sh600519
1523,2008-03-28,-28.26,-24.444,-23.677,-29.387,6716.2,sh600519
